Type,Amount,Date,Category,Description
Expense,50.0,2024-01-05,Food,Lunch at cafe
Income,2000.0,2024-01-10,Salary,Monthly salary
Expense,30.0,2024-01-12,Transport,Bus fare
Expense,100.0,2024-01-15,Bills,Electricity bill
Income,150.0,2024-01-20,Freelance,Project payment
Expense,75.0,2024-01-25,Entertainment,Movie ticket
Expense,25.0,2024-01-28,Food,Groceries
Income,50.0,2024-02-01,Gift,Birthday cash
Expense,60.0,2024-02-03,Transport,Taxi ride
Expense,120.0,2024-02-08,Bills,Internet bill
Income,2100.0,2024-02-10,Salary,Monthly Salary
Expense,40.0,2024-02-15,Food,Dinner out
Expense,80.0,2024-02-22,Entertainment,Concert
Income,200.0,2024-02-25,Freelance,Web design project
Expense,35.0,2024-03-01,Transport,Train ticket
Expense,55.0,2024-03-05,Food,Lunch
Income,2200.0,2024-03-10,Salary,Monthly Salary
Expense,90.0,2024-03-12,Bills,Water bill
Expense,70.0,2024-03-18,Entertainment,Bowling
Income,75.0,2024-03-22,Gift,From family
Expense,45.0,2024-03-28,Food,Coffee
Expense,110.0,2024-04-02,Bills,Phone bill
Income,2300.0,2024-04-10,Salary,Monthly Salary
Expense,65.0,2024-04-15,Transport,Ride share
Expense,85.0,2024-04-20,Entertainment,Theater
Income,180.0,2024-04-25,Freelance,Software update
Expense,50.0,2024-05-01,Food,Quick lunch
Expense,100.0,2024-05-08,Bills,Cable bill
Income,2400.0,2024-05-10,Salary,Monthly Salary
Expense,70.0,2024-05-15,Transport,Public transport
Expense,95.0,2024-05-22,Entertainment,Arcade
Income,90.0,2024-05-28,Gift,From friend
Expense,55.0,2024-06-03,Food,Takeout
Income,2500.0,2024-06-10,Salary,Monthly Salary
Expense,120.0,2024-06-12,Bills,Insurance
Expense,80.0,2024-06-18,Entertainment,Mini golf
Income,220.0,2024-06-25,Freelance,App testing
Expense,60.0,2024-07-02,Food,Restaurant
Income,2600.0,2024-07-10,Salary,Monthly Salary
Expense,75.0,2024-07-15,Transport,Train
Expense,100.0,2024-07-22,Entertainment,Escape room
Income,110.0,2024-07-28,Gift,From family
Expense,65.0,2024-08-03,Food,Cafe
Income,2700.0,2024-08-10,Salary,Monthly Salary
Expense,130.0,2024-08-12,Bills,Rent
Expense,85.0,2024-08-18,Entertainment,Go-karting
Income,250.0,2024-08-25,Freelance,Data entry
Expense,70.0,2024-09-02,Food,Dinner
Income,2800.0,2024-09-10,Salary,Monthly Salary
Expense,80.0,2024-09-15,Transport,Bus
Expense,105.0,2024-09-22,Entertainment,Hiking
Income,120.0,2024-09-28,Gift,From friend
Expense,75.0,2024-10-03,Food,Groceries
Income,2900.0,2024-10-10,Salary,Monthly Salary
Expense,140.0,2024-10-12,Bills,Medical bills
Expense,90.0,2024-10-18,Entertainment,Museum
Income,280.0,2024-10-25,Freelance,Consulting
Expense,80.0,2024-11-02,Food,Lunch
Income,3000.0,2024-11-10,Salary,Monthly Salary
Expense,85.0,2024-11-15,Transport,Taxi
Expense,110.0,2024-11-22,Entertainment,Zoo
Income,130.0,2024-11-28,Gift,From family
Expense,85.0,2024-12-03,Food,Dinner
Income,3100.0,2024-12-10,Salary,Monthly Salary
Expense,150.0,2024-12-12,Bills,Holiday expenses
Expense,95.0,2024-12-18,Entertainment,Holiday event
Income,300.0,2024-12-25,Freelance,Year-end bonus
Expense,90.0,2024-12-28,Food,Holiday groceries
Expense,40.0,2024-12-30,Transport,Travel
Income,500.0,2025-03-06,Transport,Sang moto
